ID,ID,Name,Active,Type,IsCommercial,ChargesRCC,PCE,CO2,CustomerChg,DemandCharge,NameShort,Blocks
99,99,Puvurnaq Power Company - Residential,True,1,False,False,0.202000007033348,2.40000009536743,,,Puvurn,"[(nan, 0.649999976158142), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
101,101,"Ruby, City of - Residential",True,1,False,False,0.305000007152557,2.09999990463257,5.0,,"Ruby, ","[(nan, 0.75), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
102,102,Sand Point TDX - Residential,True,1,False,True,0.209800004959106,1.70000004768372,6.67999982833862,,Sand P,"[(nan, 0.44620001281146005), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
104,104,"Seward, City of - Residential",True,1,False,False,,1.10000002384186,21.5,,Seward,"[(nan, 0.1912700012326241), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
105,105,Nunum Iqua Electric - Residential,True,1,False,False,0.19480000436306,2.90000009536743,,,Nunum ,"[(nan, 0.391000002622604), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
106,106,"Sitka, City & Borough - Residential",True,1,False,False,,0.00300000002607703,20.4799995422363,,"Sitka,","[(nan, 0.156000003218651), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
107,107,"St. Paul, City of - Residential",True,1,False,False,0.242400005459785,1.60000002384186,0.0,,St. Pa,"[(nan, 0.419999986886978), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
109,109,Takotna Community Association - Residential,True,1,False,False,0.416500002145767,2.20000004768372,,,Takotn,"[(nan, 1.02199995517731), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
110,110,Tanalian Electric Coop - Residential,True,1,False,False,0.297399997711182,1.89999997615814,5.0,,Tanali,"[(nan, 0.505599975585938), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
111,111,"Tanana Power Company, Inc - Residential",True,1,False,True,0.32480001449585,1.70000004768372,0.0,,Tanana,"[(nan, 0.644099980243482), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
