,Name,Latitude,Longitude,ERHRegionID,WAPRegionID,FuelRefer,FuelCityID,Oil1Price,Oil2Price,PropanePrice,BirchPrice,SprucePrice,CoalPrice,SteamPrice,HotWaterPrice,MunicipalSalesTax,BoroughSalesTax,TMYid,TMYname,ElecUtilities,GasPrice,aris_city,census_city,census_area,ancsa_region,railbelt,hub,avg_elec_usage
23,Coffman Cove,56.0045051574707,-132.813171386719,1,1,False,,3.14000010490417,3.14000010490417,2.83999991416931,,,,,,,,703870,"WRANGELL, AK","[('Coffman Cove-APT - Residential', 252), ('Coffman Cove-APT - Commercial - Sm', 363), ('Coffman Cove-APT - Commercial - Lg', 550)]",,Coffman Cove,Coffman Cove city,Prince of Wales-Hyder Census Area,Sealaska Corporation,Affordable Energy Strategy Area,False,"[511.306363975, 477.809378262, 423.544981799, 435.539159962, 391.482594357, 391.674388396, 379.80153080800005, 402.47739574599996, 404.302675585, 395.036574215, 439.784831375, 497.684859155]"
24,Cold Bay,55.207218170166,-162.71745300293,2,3,False,,4.3899998664856,,,,,,,,,,703160,"COLD BAY ARPT, AK","[('G&K, Inc - Residential', 47), ('G&K, Inc - Commercial - Sm', 378), ('G&K, Inc - Commercial - Lg', 565)]",,Cold Bay,Cold Bay city,Aleutians East Borough,Aleut,Affordable Energy Strategy Area,False,"[500.99156233, 439.98431584599996, 456.510655517, 421.946346724, 426.966352624, 380.76338928900003, 392.608543794, 400.059089699, 410.11991491599997, 434.168674699, 445.715396996, 472.65755627]"
25,Cooper Landing,60.4893684387207,-149.796524047852,2,2,False,,2.69000005722046,,4.5,,,,,,,0.0299999993294477,702770,"SEWARD, AK","[('Chugach Electric- Residential', 1), ('Chugach Electric - Commercial - Sm', 361), ('Chugach Electric - Commercial - Lg', 548)]",0.978519976139068,Cooper Landing,Cooper Landing CDP,Kenai Peninsula Borough,Cook Inlet Regional (CIRI),Railbelt,False,"[674.3176110825001, 616.54369648225, 568.8020181537499, 559.5290597065, 502.68865773625, 474.855271649, 467.94495386925, 483.58090842574995, 498.77690241749997, 532.8355384270001, 575.696935941, 610.274161992]"
26,Copper Center,61.9822807312012,-145.329803466797,4,4,False,,2.75,,3.44000005722046,,,,,,,,702710,"GULKANA INTERMEDIATE FIELD, AK","[('Copper Valley Electric Assn 1 - Residential', 36), ('Copper Valley Electric Assn 1 - Commercial - Sm', 364), ('Copper Valley Electric Assn 1 - Commercial - Lg', 551)]",,Copper Center,Copper Center CDP,Valdez-Cordova Census Area,Ahtna Inc,Affordable Energy Strategy Area,False,"[378.855336556, 326.852209432, 298.495185185, 285.88211382099996, 267.38349159999996, 260.50396253599996, 267.598859993, 268.426765016, 270.60518934099997, 278.94908707900004, 307.041975309, 350.559561683]"
27,Cordova,60.5427436828613,-145.738616943359,2,2,False,,3.00999999046326,,4.0,,,,,,,,702960,"CORDOVA, AK","[('Cordova Electric Cooperative - Residential', 37), ('Cordova Electric Cooperative - Commercial - Sm', 366), ('Cordova Electric - Commercial - Lg', 553)]",,Cordova,Cordova city,Valdez-Cordova Census Area,Chugach Alaska Corp,Affordable Energy Strategy Area,True,"[570.21724029, 547.299400568, 496.62147721300005, 504.917478748, 467.503786369, 466.190370445, 452.391330829, 468.486207601, 510.772507553, 490.943599296, 556.001153644, 580.845083781]"
28,Atqasuk - Com,70.4787368774414,-157.417251586914,6,5,False,,4.09999990463257,,8.47000026702881,,,,,,,,700260,"BARROW W POST-W ROGERS ARPT [NSA - ARM], AK","[('North Slope Borough Utilities - Residential', 88), ('North Slope Borough Utilities - Commercial - Sm', 427), ('North Slope Borough Utilities - Commercial - Lg', 614)]",,Atqasuk,Atqasuk city,North Slope Borough,Arctic Slope Regional Corporation,Affordable Energy Strategy Area,False,"[814.1280577660001, 732.4086517019999, 677.8205355819999, 658.6938714940001, 573.242149129, 551.260636715, 515.910546416, 549.5003696580001, 592.636700237, 644.655361374, 715.0635761589999, 782.4727755639999]"
29,Kaktovik - Res,70.1230087280273,-143.609298706055,6,5,False,,2.5,,6.0,,,,,,,,700637,"DEADHORSE, AK","[('North Slope Borough Utilities - Residential', 88), ('North Slope Borough Utilities - Commercial - Sm', 427), ('North Slope Borough Utilities - Commercial - Lg', 614)]",,Kaktovik,Kaktovik city,North Slope Borough,Arctic Slope Regional Corporation,Affordable Energy Strategy Area,False,"[814.1280577660001, 732.4086517019999, 677.8205355819999, 658.6938714940001, 573.242149129, 551.260636715, 515.910546416, 549.5003696580001, 592.636700237, 644.655361374, 715.0635761589999, 782.4727755639999]"
30,Nuiqsut,70.2186050415039,-151.004669189453,6,5,False,,2.29999995231628,,7.63000011444092,,,,,,,,700637,"DEADHORSE, AK","[('North Slope Borough Utilities - Residential', 88), ('Nuiqsut North Slope Borough Commercial', 673), ('Nuiqsut North Slope Borough Residential', 674)]",0.0,Nuiqsut,Nuiqsut city,North Slope Borough,Arctic Slope Regional Corporation,Affordable Energy Strategy Area,False,"[814.1280577660001, 732.4086517019999, 677.8205355819999, 658.6938714940001, 573.242149129, 551.260636715, 515.910546416, 549.5003696580001, 592.636700237, 644.655361374, 715.0635761589999, 782.4727755639999]"
31,Point Hope Res,68.3478851318359,-166.769882202148,6,5,False,,2.0,,11.5699996948242,,,,,,,,701043,"POINT HOPE (AWOS), AK","[('North Slope Borough Utilities - Residential', 88), ('North Slope Borough Utilities - Commercial - Sm', 427), ('North Slope Borough Utilities - Commercial - Lg', 614)]",,Point Hope,Point Hope city,North Slope Borough,Arctic Slope Regional Corporation,Affordable Energy Strategy Area,False,"[814.1280577660001, 732.4086517019999, 677.8205355819999, 658.6938714940001, 573.242149129, 551.260636715, 515.910546416, 549.5003696580001, 592.636700237, 644.655361374, 715.0635761589999, 782.4727755639999]"
32,Point Lay,69.7455978393555,-163.012130737305,6,5,False,,1.74000000953674,,8.47000026702881,,,,,,,,701043,"POINT HOPE (AWOS), AK","[('North Slope Borough Utilities - Residential', 88), ('North Slope Borough Utilities - Commercial - Sm', 427), ('North Slope Borough Utilities - Commercial - Lg', 614)]",,Point Lay,Point Lay CDP,North Slope Borough,Arctic Slope Regional Corporation,Affordable Energy Strategy Area,False,"[814.1280577660001, 732.4086517019999, 677.8205355819999, 658.6938714940001, 573.242149129, 551.260636715, 515.910546416, 549.5003696580001, 592.636700237, 644.655361374, 715.0635761589999, 782.4727755639999]"
