,brand,ahri_num,zones,outdoor_model,indoor_model,hspf,in_pwr_5F_max,capacity_5F_max,in_pwr_47F_min,cop_5F_max,cop_17F_max,cop_47F_max
0,Acd,202110483,Single,UHD09KCH38S-O,UHD09KCH38S-I,15.0,1.82,12977.0,0.2,2.089661140324176,2.4056524740280896,2.6571777013333335
1,Acd,201863350,Single,OCD09KCH23S-O,OCD09KCH23S-I,10.5,1.33,9171.0,0.16,2.02086825787218,2.183095854335484,2.605076177777778
2,Acd,202110500,Multi,MPD30KCH21S-O,Non-Ducted Indoor Units,11.5,3.01,19356.0,1.05,1.8846125019667774,3.1260914133333335,3.584756853954717
3,Acd,202110494,Multi,MPD18KCH22S-O,Non-Ducted Indoor Units,11.0,2.3,13450.0,0.75,1.7138286484782608,2.4152590693467335,2.365502207857143
4,Acd,202132789,Single,UHD24KCH22S-O,UHD24KCH22S-I,12.0,3.2,22553.0,0.38,2.0655099505343752,2.277196896866864,2.534668713513513
5,Acd,202110485,Single,UHD18KCH25S-O,UHD18KCH25S-I,12.0,3.1,21500.0,0.32,2.032589679032258,2.1064483156250002,2.309044793939394
6,Acd,202110484,Single,UHD12KCH31S-O,UHD12KCH31S-I,14.0,0.86,8000.0,0.25,2.7262425116279068,2.6376396300000002,3.4252681306249997
7,Acd,202110497,Multi,MPD24KCH21S-O,Non-Ducted Indoor Units,11.0,2.97,18356.0,0.95,1.8113173605791246,3.0227061031390137,2.254392846153846
8,Acd,201863352,Single,OCD18KCH20S-O,OCD18KCH20S-I,10.5,2.6,16500.0,0.58,1.8598740980769228,2.141673203846154,2.648911594230769
9,Acd,201863351,Single,OCD12KCH22S-O,OCD12KCH22S-I,11.0,1.28,8800.0,0.21,2.01486360625,2.395746642373134,2.9307106999999997
10,Acd,202110503,Multi,MPD36KCH21S-O,Non-Ducted Indoor Units,11.5,3.12,21356.0,1.25,2.0060339009358974,2.7320184491525423,3.610961216922222
11,Acd,201863353,Single,OCD24KCH20S-O,OCD24KCH20S-I,10.0,3.32,22862.0,0.46,2.018129759740964,1.903744208171745,3.052316953112033
36,American Standard,7151530,Single,4TXK2709A10N0AA,4MXW2709A10N0AA,10.0,1.095,8000.0,0.1,2.141158502283105,2.4736350115698684,2.579025416
37,American Standard,7151532,Single,4TXK2712A10NAA,4MXW2712A10N0AA,10.0,1.131,8300.0,0.1,2.150742600353669,2.5244735732673265,3.0392555407407404
38,American Standard,7151534,Single,4TXK2718A10N0AA,4MXW2718A10N0AA,10.0,2.29,15400.0,0.4,1.970870951091703,2.2435331638832685,2.7199339864559997
71,American Standard,9150122,Single,4TXK3809A10NUAA,4MXW3809A10NUAA,15.0,1.72,12210.0,0.2,2.0804638166860463,2.402110843462358,2.6571777013333335
72,American Standard,9150124,Single,4TXK3812A10NUAA,4MXW3812A10NUAA,14.0,1.79,13304.0,0.25,2.1782220755754187,2.6376396300000002,3.4252681306249997
73,American Standard,9150126,Single,4TXK3818A10NUAA,4MXW3818A10NUAA,12.0,3.3,20634.0,0.35,1.8324934722363637,2.083058989846154,2.8603736432
74,American Standard,9150128,Single,4TXK3824A10NUAA,4MXW3824A10NUAA,12.0,3.175,24233.0,0.38,2.2368476344283463,2.2765233692428275,2.5663520724324322
111,American Standard/Mitsubishi Electric,202102459,Single,MUFZ-KJ09NAHZ,MFZ-KJ09NA,13.0,1.6,11000.0,0.27,2.01,2.11,2.35
112,American Standard/Mitsubishi Electric,202102460,Single,MUFZ-KJ12NAHZ,MFZ-KJ12NA,12.0,1.81,13000.0,0.27,2.1,2.29,2.8
113,American Standard/Mitsubishi Electric,202102461,Single,MUFZ-KJ15NAHZ,MFZ-KJ15NA,11.6,2.83,18000.0,0.7,1.8640562756183747,1.928099144736842,2.1486148826979474
114,American Standard/Mitsubishi Electric,202102462,Single,MUFZ-KJ18NAHZ,MFZ-KJ18NA,11.3,3.0,21000.0,0.48,2.05,2.1,2.48
115,American Standard/Mitsubishi Electric,202102465,Single,MUZ-FH06NA,MSZ-FH06NA,13.5,0.91,8700.0,0.11,2.8,3.13,3.23
116,American Standard/Mitsubishi Electric,202102466,Single,MUZ-FH06NAH,MSZ-FH06NAH,12.5,1.04,8700.0,0.11,2.45,2.78,3.23
117,American Standard/Mitsubishi Electric,202102467,Single,MUZ-FH09NA,MSZ-FH09NA,13.5,1.35,10900.0,0.11,2.32,2.48,3.59
118,American Standard/Mitsubishi Electric,202102468,Single,MUZ-FH09NAH,MSZ-FH09NAH,12.5,1.17,10900.0,0.11,2.73,2.84,4.15
119,American Standard/Mitsubishi Electric,202102469,Single,MUZ-FH12NA,MSZ-FH12NA,12.5,1.8,13600.0,0.28,2.21,2.1,2.68
120,American Standard/Mitsubishi Electric,202102470,Single,MUZ-FH12NAH,MSZ-FH12NAH,11.5,1.93,13600.0,0.28,2.07,1.96,2.68
121,American Standard/Mitsubishi Electric,202102471,Single,MUZ-FH15NA,MSZ-FH15NA,12.0,2.95,18000.0,0.43,1.79,2.13,2.09
122,American Standard/Mitsubishi Electric,202102472,Single,MUZ-FH15NAH,MSZ-FH15NA,11.0,2.98,18300.0,0.61,1.799731738590604,1.7619153613095238,2.0859764394117644
123,American Standard/Mitsubishi Electric,202102473,Single,MUZ-FH18NA2,MSZ-FH18NA2,12.0,2.96,20300.0,0.43,2.01,2.12,2.59
124,American Standard/Mitsubishi Electric,202102474,Single,MUZ-FH18NAH2,MSZ-FH18NA,11.0,2.98,20900.0,0.85,2.0554313298657716,2.1007749265486724,2.6204001552941176
125,American Standard/Mitsubishi Electric,202102475,Single,MUZ-GL09NA-U1,MSZ-GL09NA-U1,12.8,0.85,8000.0,0.23,2.7583159529411763,2.8201178433962264,3.7278640104
126,American Standard/Mitsubishi Electric,202102476,Single,MUZ-GL12NA-U1,MSZ-GL12NA-U1,12.5,1.02,10200.0,0.11,2.9307106999999997,2.8361716451612904,3.2744360290123455
127,American Standard/Mitsubishi Electric,202102477,Single,MUZ-GL15NA-U1,MSZ-GL15NA-U1,11.7,1.57,14100.0,0.2,2.6320395458598727,2.39122664079602,3.0473559019900494
128,American Standard/Mitsubishi Electric,202102478,Single,MUZ-GL18NA-U1,MSZ-GL18NA-U1,11.2,1.88,15100.0,0.32,2.3539218920212766,2.480880685581395,2.9307107
129,American Standard/Mitsubishi Electric,202102479,Single,MUZ-GL24NA-U1,MSZ-GL24NA-U1,10.0,2.99,20200.0,0.52,1.979945021404682,2.191352073556231,2.9628280775342466
130,American Standard/Mitsubishi Electric,202102443,Multi,MXZ-2C20NA2,Non-Ducted Indoor Units,10.0,1.6,11100.0,0.67,2.033180548125,2.595772334285714,3.0441190570264767
131,American Standard/Mitsubishi Electric,202102446,Multi,MXZ-3C24NAHZ2,Non-Ducted Indoor Units,10.0,3.82,25000.0,0.93,1.92,2.06,4.25
132,American Standard/Mitsubishi Electric,202102448,Multi,MXZ-3C30NAHZ2,Non-Ducted Indoor Units,11.0,4.79,28600.0,0.93,1.75,2.0,4.0
133,American Standard/Mitsubishi Electric,202102450,Multi,MXZ-4C36NAHZ,Non-Ducted Indoor Units,11.3,5.46,45000.0,1.09,2.41,2.78,3.95
134,American Standard/Mitsubishi Electric,202106831,Multi,MXZ-4C36NAHZ,Mixed,10.7,6.21,45000.0,1.3,2.16,2.47,3.48
135,American Standard/Mitsubishi Electric,202102452,Multi,MXZ-5C42NAHZ,Non-Ducted Indoor Units,11.0,5.61,48000.0,1.17,2.51,2.89,4.1
136,American Standard/Mitsubishi Electric,202102455,Multi,MXZ-8C60NA-U*,Non-Ducted Indoor Units,10.5,8.1,57000.0,1.053,2.062351974074074,1.999960057742782,3.41140928042328
137,American Standard/Mitsubishi Electric,202102440,Multi,PUMY-P36NKMU*,Ducted indoor units,10.5,3.9,30000.0,0.671,2.254392846153846,2.573306956097561,3.599118403508772
138,American Standard/Mitsubishi Electric,202102456,Multi,PUMY-P36NKMU*,Non-Ducted Indoor Units,11.5,3.695,29000.0,0.62,2.300151834912043,2.700049341932087,3.8952483987341773
139,American Standard/Mitsubishi Electric,202106837,Multi,PUMY-P36NKMU*,Mixed,11.0,3.798,29000.0,0.646,2.237772783043707,2.633929869620253,3.7413328085106383
140,American Standard/Mitsubishi Electric,202102457,Multi,PUMY-P48NKMU*,Non-Ducted Indoor Units,11.7,4.849,36400.0,0.784,2.1999973083109916,2.4999119242213848,3.7997209555822327
141,American Standard/Mitsubishi Electric,202102458,Multi,PUMY-P60NKMU*,Non-Ducted Indoor Units,11.4,8.353,57000.0,1.027,1.9998863869268526,2.299845412290233,3.49777407233273
142,American Standard/Mitsubishi Electric,202102497,Single,PUZ-A24NHA7***,PLA-A24EA7,11.2,1.4,13000.0,0.45,2.7213742214285714,2.5605156642105262,4.105826584541062
143,American Standard/Mitsubishi Electric,202102507,Single,PUZ-A36NKA7***,PLA-A36EA7,10.4,2.6,21600.0,0.94,2.4347442738461536,2.34456856,4.075822827814569
145,American Standard/Mitsubishi Electric,202102522,Single,PUZ-HA36NHA5,PLA-A36BA*,10.0,5.79,38000.0,1.19,1.92,2.12,3.14
147,American Standard/Mitsubishi Electric,202102531,Single,SUZ-KA12NA,SEZ-KD12NA,10.0,0.9,7400.0,0.34,2.4096954644444444,2.63763963,3.162082597368421
148,American Standard/Mitsubishi Electric,202102538,Single,SUZ-KA18NA,SEZ-KD18NA,10.0,1.32,9900.0,0.26,2.198033025,2.4422589166666664,3.394171926976744
149,Arcoaire,201835506,Single,DLCPRAH09AAK,DLFPHAH09XAK,14.5,1.936,13047.0,0.159,1.9750507491167355,2.106303820027842,2.9483885528326437
150,Arcoaire,201835507,Single,DLCPRAH12AAK,DLFPHAH12XAK,13.6,2.074,12897.0,0.188,1.822438567883317,2.193868957023004,2.8371299731373543
151,Arcoaire,201835513,Single,DLCSRAH09AAJ,DLFSHAH09XAJ,10.5,1.03405777,6880.0,0.151,1.95,2.33,3.49
152,Arcoaire,201835514,Single,DLCSRAH12AAJ,DLFSHAH12XAJ,11.0,1.1373379293450685,7800.0,0.17,2.0099165665884,2.3332965957692298,3.508635894112149
153,Arcoaire,201835538,Single,DLCSRAH24AAK,DLFSDAH24XAK,12.0,4.55569796,30000.0,0.458,1.93,1.98,3.14
154,Bosch,9966837,Single,BMS500-AAS009-0CSXXA,BMS500-AAU009-0AHXXA,10.5,0.933,6516.0,0.162,2.0467857364630224,2.396967961288981,3.50283030076555
155,Bosch,9966838,Single,BMS500-AAS009-1CSXXA,BMS500-AAU009-1AHXXA,10.0,1.01,6609.0,0.161,1.9177294075544553,2.337364256411013,3.565925205209302
156,Bosch,9966839,Single,BMS500-AAS012-0CSXXA,BMS500-AAU012-0AHXXA,10.0,0.831,5736.0,0.172,2.022930995812274,2.3729406767876786,3.4782982092469017
157,Bosch,9966843,Single,BMS500-AAS018-1CSXXA,BMS500-AAU018-1AHXXA,10.0,2.087,12524.0,0.231,1.7587072739242933,2.491557765386997,3.359637893249701
158,Bosch,9966844,Single,BMS500-AAS024-1CSXXA,BMS500-AAU024-1AHXXA,10.0,2.635,15815.0,0.36,1.7589825320872865,2.205720522800646,3.280864763657318
315,Bryant,201753409,Single,38MPRAQ09AA3,619PHAQ09XA3,15.0,1.936,13047.0,0.159,1.9750507491167355,2.106303820027842,2.9483885528326437
316,Bryant,201753412,Single,38MPRAQ12AA3,619PHAQ12XA3,14.0,2.074,12897.0,0.188,1.822438567883317,2.193868957023004,2.8371299731373543
321,Bryant,8738643,Single,38MAQB24R--3,619PEQ024BBMA,10.3,3.98,24030.0,0.323,1.77,1.95,2.73
322,Bryant,8738645,Single,38MAQB12R--3,619PEQ012BBMA,12.0,1.78,12010.0,0.183,1.98,2.26,3.16
323,Bryant,8738646,Single,38MAQB09R--3,619PEQ009BBMA,11.2,1.613,10900.0,0.15,1.98,2.26,3.16
324,Bryant,8856652,Single,38MAQB18R--3,619REQ018DBMA,10.5,3.0145704237146207,18000.0,0.38842356530459465,1.75,2.14,3.21
325,Carrier,8856653,Single,38MAQB18R--3,40MBQB18D--3,10.5,3.0145704237146207,18000.0,0.38842356530459465,1.75,2.14,3.21
326,Bryant,8856654,Single,38MAQB18R--3,619REQ018CBMA,10.5,3.18,19010.0,0.27,1.75,2.06,2.85
327,Carrier,9118461,Multi,38MGRQ18B--3,Non-Ducted Indoor Units,10.3,1.91,13990.0,0.52,2.146630507486911,2.700569000858896,3.6010168395897435
328,Bryant,9118462,Multi,38MGRQ18B--3,Non-Ducted Indoor Units,10.3,1.91,13990.0,0.52,2.146630507486911,2.700569000858896,3.6010168395897435
329,Carrier,9118473,Multi,38MGRQ36D--3,Non-Ducted Indoor Units,10.5,5.39,36080.0,1.04,1.9617818563265306,2.088340710228571,3.1785004029613733
330,Bryant,9118474,Multi,38MGRQ36D--3,Non-Ducted Indoor Units,10.5,5.39,36080.0,1.04,1.9617818563265306,2.088340710228571,3.1785004029613733
331,Carrier,9118477,Multi,38MGRQ48E--3,Non-Ducted Indoor Units,10.2,5.39,36340.0,1.02,1.9759188652690167,2.0917878630885123,3.473918861592357
332,Bryant,9118478,Multi,38MGRQ48E--3,Non-Ducted Indoor Units,10.2,5.39,36340.0,1.02,1.9759188652690167,2.0917878630885123,3.473918861592357
333,Carrier,9854622,Multi,38MGRQ24C--3,Non-Ducted Indoor Units,10.0,3.9,24170.0,0.72,1.8162891697179486,2.6418413657706092,3.4917875511184207
334,Bryant,9854623,Multi,38MGRQ24C--3,Non-Ducted Indoor Units,10.0,3.9,24170.0,0.72,1.8162891697179486,2.6418413657706092,3.4917875511184207
335,Carrier,9854626,Multi,38MGRQ30D--3,Non-Ducted Indoor Units,10.0,4.05,28220.0,0.76,2.0420902704691355,2.106305586207792,3.3972506276323986
336,Bryant,9854627,Multi,38MGRQ30D--3,Non-Ducted Indoor Units,10.0,4.05,28220.0,0.76,2.0420902704691355,2.106305586207792,3.3972506276323986
510,Carrier,200059159,Single,38MAQB18R--3,40MBCQ18---3,10.5,3.18,19010.0,0.27,1.75,2.06,2.85
511,Bryant,200059158,Single,38MAQB18R--3,40MBCQ18---3,10.5,3.18,19010.0,0.27,1.75197517,2.05949943,2.85309899
512,Payne,201846974,Single,38MAQB18R--3,40MBCQ18---3,10.5,3.18,19010.0,0.27,1.75197517,2.05949943,2.85309899
513,Midea,201846994,Single,38MAQB18R--3,40MBCQ18---3,10.5,3.18,19010.0,0.27,1.75197517,2.05949943,2.85309899
514,Carrier,201753408,Single,38MPRAQ09AA3,40MPHAQ09XA3,15.0,1.936,13047.0,0.159,1.9750507491167355,2.106303820027842,2.9483885528326437
515,Carrier,201753411,Single,38MPRAQ12AA3,40MPHAQ12XA3,14.0,2.074,12897.0,0.188,1.822438567883317,2.193868957023004,2.8371299731373543
516,Carrier,7992954,Single,38GRQB09---301,40GRQB09H--301,10.3,1.553,10488.0,0.2,1.979,2.885,2.885
517,Carrier,7992956,Single,38GRQB12---301,40GRQB12H--301,10.3,1.38,13000.0,0.2,2.76,3.12,3.12
518,Carrier,7992958,Single,38GRQB18---301,40GRQB18H--301,10.3,1.97,19190.0,0.35,2.85,2.879,2.879
519,Carrier,8738635,Single,38MAQB09R--3,40MAQB09B--3,11.2,1.613,10900.0,0.15,1.98,2.26,3.16
520,Carrier,8738636,Single,38MAQB12R--3,40MAQB12B--3,12.0,1.78,12010.0,0.183,1.98,2.26,3.16
521,Carrier,8738638,Single,38MAQB24R--3,40MAQB24B--3,10.3,3.98,24030.0,0.323,1.77,1.95,2.73
522,Carrier,8856655,Single,38MAQB18R--3,40MBQB18C--3,10.5,3.18,19010.0,0.27,1.75,2.06,2.85
523,Comfortmaker,201835554,Single,DLCPRAH09AAK,DLFPHAH09XAK,14.5,1.936,13047.0,0.159,1.9750507491167355,2.106303820027842,2.9483885528326437
524,Comfortmaker,201835555,Single,DLCPRAH12AAK,DLFPHAH12XAK,13.6,2.074,12897.0,0.188,1.822438567883317,2.193868957023004,2.8371299731373543
525,Comfortmaker,201835561,Single,DLCSRAH09AAJ,DLFSHAH09XAJ,10.5,1.03405777,6880.0,0.151,1.94991906,2.32990328,3.492202
526,Comfortmaker,201835562,Single,DLCSRAH12AAJ,DLFSHAH12XAJ,11.0,1.1373379293450685,7800.0,0.17,2.0099165665884,2.3332965957692298,3.508635894112149
527,Comfortmaker,201835587,Single,DLCSRAH24AAK,DLFSDAH24XAK,12.0,4.55569796,30000.0,0.458,1.92991989,1.98427017,3.13949989
528,Daikin,201871420,Single,RX18RMVJU,FFQ18Q2VJU,10.1,1.57,10900.0,0.37,2.0346972375796177,2.480637271071428,3.327577773958333
529,Daikin,201871419,Single,RX15RMVJU,FFQ15Q2VJU,11.0,1.06,8160.0,0.33,2.256094274716981,2.7499620224669603,3.6746603392307695
530,Daikin,201986968,Single,RX09RMVJU,FFQ09Q2VJU,11.7,0.94,6920.0,0.25,2.157501919574468,2.6757388691,3.56782172173913
531,Daikin,201986969,Single,RX12RMVJU,FFQ12Q2VJU,11.2,1.19,8420.0,0.25,2.073662528907563,2.529180257637795,3.395582052413793
532,Daikin,201851574,Single,RX24RMVJU,FDMQ24RVJU,10.0,1.8,13760.0,0.39,2.24,2.69,3.66
533,Daikin,201851573,Single,RX18RMVJU,FDMQ18RVJU,10.3,1.65,12470.0,0.33,2.21,2.58,3.63
534,Daikin,201851575,Multi,3MXS24RMVJU,CTXS07LVJU+CTXS09LVJU+CTXS09LVJU,12.5,2.46,18930.0,0.43,2.26,2.72,3.55
535,Daikin,201851577,Multi,3MXL24RMVJU,CTXS07LVJU+CTXS09LVJU+CTXS09LVJU,12.5,2.92,21600.0,0.44,2.17,2.55,3.41
536,Daikin,201851572,Single,RX15RMVJU,FDMQ15RVJU,10.3,1.18,9220.0,0.3,2.29,2.84,3.77
537,Daikin,3208521,Single,RXG09HVJU,FTXG09HVJU,11.0,1.57,9460.0,0.224,1.77,2.12,2.82
538,Daikin,3208522,Single,RXG12HVJU,FTXG12HVJU,10.55,1.67,10040.0,0.224,1.76,2.13,2.62
539,Daikin,3208523,Single,RXG15HVJU,FTXG15HVJU,10.0,1.75,11150.0,0.234,1.87,2.25,2.89
540,Daikin,5265753,Single,RXS09LVJU,FTXS09LVJU,12.5,0.84,6968.0,0.22,2.43,2.81,3.6
541,Daikin,5265755,Single,RXS12LVJU,FTXS12LVJU,12.5,0.84,8051.0,0.22,2.81,3.25,4.15
542,Daikin,5265756,Single,RXS15LVJU,FTXS15LVJU,11.6,1.09,9972.0,0.39,2.69,3.11,3.97
543,Daikin,5265757,Single,RXS18LVJU,FTXS18LVJU,11.0,1.4,11924.0,0.41,2.49,2.89,3.7
544,Daikin,5265758,Single,RXS24LVJU,FTXS24LVJU,10.6,1.82,14028.0,0.54,2.26,2.61,3.34
545,Daikin,8103542,Multi,2MXS18NMVJU,CTXS09HVJU+CTXS09LVJU,10.7,1.4,13150.0,0.29,2.76,3.33,4.34
546,Daikin,8103869,Multi,3MXS24NMVJU,CTXS07LVJU+CTXS09LVJU+CTXS09LVJU,12.5,2.46,18930.0,0.43,2.26,2.72,3.55
547,Daikin,8849330,Single,RXL15QMVJU,FTX15NMVJU,12.5,2.361,18254.0,0.39,2.27,2.45,3.12
548,Daikin,8849445,Single,RXL15QMVJU,FVXS15NVJU,11.3,2.198,18015.0,0.34,2.4,2.7,3.87
549,Daikin,8849458,Single,RXL12QMVJU,FTX12NMVJU,12.0,1.86,14330.0,0.24,2.26,2.52,3.52
550,Daikin,8849459,Single,RXL09QMVJU,FVXS09NVJU,11.7,1.384,10065.0,0.24,2.13,2.36,3.1
551,Daikin,8849533,Single,RXL09QMVJU,FTX09NMVJU,12.5,1.623,10918.0,0.23,1.97,2.17,2.76
552,Daikin,8849535,Multi,2MXL18QMVJU,Non-Ducted Indoor Units,10.3,2.62,18930.0,0.47,2.12,2.48,3.33
553,Daikin,8849539,Multi,3MXL24QMVJU,CTXS07LVJU+FTXS09LVJU+FTXS09LVJU,12.5,2.92,21600.0,0.44,2.17,2.55,3.41
554,Daikin,9966569,Single,RX09QMVJU,FFQ09Q2VJU,11.7,0.76,6270.0,0.25,2.42,2.94,3.57
555,Daikin,9966684,Single,RX12QMVJU,FFQ12Q2VJU,11.2,0.96,7500.0,0.25,2.28,2.76,3.39
556,Daikin,9966775,Single,RX15QMVJU,FFQ15Q2VJU,11.0,0.86,7270.0,0.31,2.47,3.0135351328260866,3.6746603392307695
557,Daikin,10318063,Single,RX18QMVJU,FFQ18Q2VJU,10.1,1.27,9700.0,0.37,2.2384168338582677,2.72,3.327577773958333
563,Day & Night,201835602,Single,DLCPRAH09AAK,DLFPHAH09XAK,14.5,1.936,13047.0,0.159,1.9750507491167355,2.106303820027842,2.9483885528326437
564,Day & Night,201835603,Single,DLCPRAH12AAK,DLFPHAH12XAK,13.6,2.074,12897.0,0.188,1.822438567883317,2.193868957023004,2.8371299731373543
565,Day & Night,201835609,Single,DLCSRAH09AAJ,DLFSHAH09XAJ,10.5,1.03405777,6880.0,0.151,1.94991906,2.32990328,3.492202
566,Day & Night,201835610,Single,DLCSRAH12AAJ,DLFSHAH12XAJ,11.0,1.1373379293450685,7800.0,0.17,2.0099165665884,2.3332965957692298,3.508635894112149
567,Day & Night,201835635,Single,DLCSRAH24AAK,DLFSDAH24XAK,12.0,4.55569796,30000.0,0.458,1.92991989,1.98427017,3.13949989
568,Emi,8993363,Single,SZ1H09DAA,WALH09AAA,10.5,1.07,6800.0,0.198,1.8625077345794392,2.3560615431372547,3.331755322105263
569,Emi,8993362,Single,SZ1H12AAA,WALH12AAA,11.2,1.16,7100.0,0.22,1.7937970663793101,2.2273401319999997,3.0708751247826087
570,Emi,8993367,Single,SZ1H18DAA,WALH18DAA,10.0,1.69,10952.0,0.25,1.8992392654674555,2.460708179071207,3.383638717272727
571,Emi,8993369,Single,SZ1H24DAA,WALH24DAA,10.0,2.52,15200.0,0.42,1.7677302634920633,2.104158697890625,3.082839194351145
572,Frigidaire,8718583,Single,FFHP093CS2 ,FFHP093WS2,10.5,1.45,10200.0,0.16,2.061603388965517,2.353125379562044,2.9307107
573,Frigidaire,8718584,Single,FFHP123CS2,FFHP123WS2,10.1,1.27,8800.0,0.4,2.030728674015748,2.405807291044776,2.9307106999999997
574,Frigidaire,8718585,Single,FFHP183CS2,FFHP183WS2,10.0,2.622,16425.3,0.58,1.8359192395389017,2.095968473258706,2.2936611176543757
575,Emerson Quiet Kool,10298956,Single,HP-25EACH09R2O,HP-25EACH09R2I,11.2,1.945006927421933,11680.0,0.2331850458457959,1.7599269438784,1.9899173967716,3.1598688310544008
576,Emerson Quiet Kool,10298957,Single,HP-22EACH12R2O,HP-22EACH12R2I,12.0,1.9555164777908034,12010.0,0.22727775442942777,1.799925283512,2.21,3.27
577,Emerson Quiet Kool,10298959,Single,HP-20EACH24R2O,HP-20EACH24R2I,11.5,3.9817219692602643,24590.0,0.6872597941075702,1.81,1.95,2.72
578,Friedrich,7000021,Single,MR09Y3J,MW09Y3J,11.0,1.95,11942.7,0.2,1.79,2.37,3.6
579,Friedrich,7000022,Single,MR12Y3J,MW12Y3J,11.0,2.91,15524.6,0.19,2.0,2.05,3.12
580,Friedrich,7012589,Single,MR24Y3J,MW24Y3J,11.0,4.42,27228.6,0.53,1.8,2.18,2.72
581,Friedrich,7086358,Single,MRH12Y3J,MWH12Y3J,11.0,0.95,7500.0,0.956,2.3137189736842103,3.119235949707602,3.750771950917431
582,Friedrich,8915232,Multi,MR24DY3JMA,Non-Ducted,10.6,1.65,14595.0,1.092,2.5923468282727273,3.6157429028011694,3.349383657142857
583,Friedrich,8915234,Multi,MR24DY3JMA,Mixed,10.2,1.7,14109.0,1.171,2.4323174862529413,3.395961023625,3.144878020384615
584,Friedrich,201763897,Single,MRH09Y3JA,MWH09Y3JA,12.5,1.48,10780.0,0.123,2.134666307162162,2.3380946026338147,2.8392630776971792
585,Friedrich,201763898,Single,MRH12Y3JA,MWH12Y3JA,12.0,1.65,13130.0,0.215,2.3321352418787877,2.2986790786712414,3.067060725152919
586,Fujitsu,5063325,Single,AOU9RLS2,ASU9RLS2,12.5,2.06,15000.0,0.2,2.18,2.45,3.24
587,Fujitsu,5063326,Single,AOU12RLS2,ASU12RLS2,12.0,2.1,16500.0,0.2,2.34,2.63,3.24
588,Fujitsu,5751311,Single,AOU9RLFC,AUU9RLF,13.0,1.87,15000.0,0.15,2.41,2.66,2.93
589,Fujitsu,5751312,Single,AOU9RLFC,ARU9RLF,12.2,1.87,15000.0,0.15,2.41,2.66,2.93
590,Fujitsu,5751313,Single,AOU12RLFC,AUU12RLF,12.2,2.25,16500.0,0.15,2.18,2.41,2.85
591,Fujitsu,5751314,Single,AOU12RLFC,ARU12RLF,11.5,2.25,16500.0,0.15,2.18,2.41,2.85
592,Fujitsu,6936995,Single,AOU9RLFF,AGU9RLF,12.6,2.1,14000.0,0.2,1.95,2.25,2.99
593,Fujitsu,6936996,Single,AOU12RLFF,AGU12RLF,11.6,2.17,15000.0,0.2,2.02,2.02,3.1
594,Fujitsu,6936997,Single,AOU15RLFF,AGU15RLF,11.2,2.91,18500.0,0.18,1.86,1.93,3.03
595,Fujitsu,6937309,Single,AOU9RLFFH,AGU9RLF,12.4,2.25,14000.0,0.2,1.82,2.08,2.99
596,Fujitsu,6937310,Single,AOU12RLFFH,AGU12RLF,11.3,2.32,15000.0,0.2,1.89,1.89,3.1
597,Fujitsu,6937311,Single,AOU15RLFFH,AGU15RLF,11.0,3.06,18500.0,0.18,1.77,1.83,3.03
598,Fujitsu,6961728,Single,AOU9RLFW1,ASU9RLF1,11.0,1.27,8530.0,0.25,1.9679448818897638,2.191732283464567,2.75
599,Fujitsu,6961729,Single,AOU12RLFW1,ASU12RLF1,11.0,1.7723437499999999,12150.0,0.25,2.007123618090452,2.1959785594639865,2.8122110552763817
600,Fujitsu,7937663,Single,AOU18RLB,ASU18RLB,10.6,2.18,15400.0,0.17,2.069816513761468,2.3326985714285713,2.8446601941747574
601,Fujitsu,7993242,Single,AOU12RLS3,ASU12RLS3,14.0,2.1,16500.0,0.2,2.3,2.49,3.34
602,Fujitsu,7993243,Single,AOU15RLS3,ASU15RLS3,13.4,2.75,20500.0,0.17,2.18,2.43,3.2
603,Fujitsu,7993244,Single,AOU12RLS3H,ASU12RLS3,13.8,2.25,16500.0,0.2,2.15,2.32,3.34
604,Fujitsu,7993245,Single,AOU15RLS3H,ASU15RLS3,13.3,2.9,20500.0,0.17,2.07,2.3,3.2
605,Fujitsu,8004699,Single,AOU9RLS3,ASU9RLS3,14.2,2.1,15000.0,0.2,2.09,2.28,3.34
606,Fujitsu,8004700,Single,AOU9RLS3H,ASU9RLS3,14.0,2.25,15000.0,0.2,1.95,2.12,3.34
607,Fujitsu,8033584,Multi,AOU18RLXFZH,Non-Ducted Indoor Units,10.3,3.49,22000.0,0.52,1.85,2.16,3.54
608,Fujitsu,8033586,Multi,AOU24RLXFZH,Non-Ducted Indoor Units,10.3,3.57,25500.0,0.5,2.09,2.13,3.06
609,Fujitsu,8693477,Multi,AOU48RLAVM,Non-Ducted Indoor Units,11.4,4.12,41300.0,0.91,2.9378771437540134,3.2856094616300218,3.8980600134924854
610,Fujitsu,8693480,Multi,AOU36RLAVM,Non-Ducted Indoor Units,11.4,4.06,37900.0,0.87,2.735860639099356,2.77860209639971,3.846627277203348
611,Fujitsu,8703348,Single,AOU9RLS3,ASU9RLS3Y,14.2,2.1,15000.0,0.2,2.09,2.28,3.34
612,Fujitsu,8703349,Single,AOU9RLS3H,ASU9RLS3Y,14.0,2.25,15000.0,0.2,1.95,2.12,3.34
613,Fujitsu,8703350,Single,AOU12RLS3,ASU12RLS3Y,14.0,2.1,16500.0,0.2,2.3,2.49,3.34
